Season,Date,PSCH,PSCD,PSCA
2014/15,01/08/2014,4.13,3.41,2.04
2014/15,02/08/2014,3.16,3.22,2.51
2014/15,02/08/2014,1.69,3.9,5.63
2014/15,03/08/2014,2.19,3.36,3.68
2014/15,03/08/2014,2.09,3.31,4.07
2014/15,03/08/2014,1.61,4.04,6.36
2014/15,04/08/2014,2.88,3.12,2.76
2014/15,08/08/2014,2.1,3.41,3.91
2014/15,08/08/2014,2.27,3.29,3.56
2014/15,09/08/2014,2.64,3.24,2.95
2014/15,09/08/2014,1.43,4.64,8.95
2014/15,10/08/2014,2.43,3.4,3.13
2014/15,10/08/2014,2.15,3.39,3.76
2014/15,10/08/2014,1.68,3.85,5.86
2014/15,11/08/2014,1.59,4.1,6.6
2014/15,15/08/2014,2.91,3.28,2.66
2014/15,15/08/2014,7.1,4.09,1.56
2014/15,16/08/2014,2.67,3.09,3.06
2014/15,16/08/2014,3.21,3.28,2.44
2014/15,16/08/2014,1.75,3.86,5.18
2014/15,17/08/2014,1.99,3.43,4.23
2014/15,17/08/2014,2.75,3.23,2.84
2014/15,18/08/2014,2.49,3.16,3.24
2014/15,22/08/2014,3.37,3.39,2.3
