Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA
B1,16/10/2005,St Truiden,Gent,1.0,1.0,D,0.0,0.0,2.5,3.25,2.5,2.35,3.2,2.7,2.7,3.0,2.3,2.4,3.25,2.5,2.5,3.1,2.5,2005/6,€13.90m,€22.35m,2.5,3.2,2.4
B1,21/10/2005,Standard,Charleroi,1.0,0.0,H,0.0,0.0,1.36,4.0,7.5,1.4,4.0,6.75,1.4,3.9,6.0,1.44,3.6,6.5,1.4,3.6,7.5,2005/6,€52.10m,€15.10m,1.35,3.75,7.5
B1,22/10/2005,Cercle Brugge,Roeselare,2.0,2.0,D,2.0,2.0,1.9,3.25,3.4,1.9,3.3,3.55,1.85,3.1,3.6,1.73,3.4,4.0,1.85,3.3,3.5,2005/6,€12.00m,€9.28m,1.85,3.4,3.6
B1,22/10/2005,Genk,Mouscron,1.0,0.0,H,0.0,0.0,1.5,3.6,5.5,1.55,3.45,5.6,1.45,3.8,5.4,1.4,3.75,7.0,1.45,3.8,6.0,2005/6,€35.15m,€14.65m,1.45,3.75,6.0
B1,22/10/2005,Gent,Beveren,3.0,0.0,H,2.0,0.0,1.66,3.4,4.33,1.7,3.3,4.5,1.6,3.4,4.6,1.67,3.4,4.33,1.6,3.3,5.0,2005/6,€22.35m,€16.75m,1.65,3.4,4.35
B1,22/10/2005,Germinal,FC Brussels,0.0,1.0,A,0.0,1.0,2.1,3.2,3.0,2.2,3.3,2.8,2.0,3.1,3.2,2.0,3.2,3.2,2.1,3.2,3.0,2005/6,€23.18m,€14.25m,2.1,3.25,3.0
B1,22/10/2005,Louvieroise,Lierse,1.0,0.0,H,0.0,0.0,2.2,3.25,2.75,2.15,3.4,2.85,2.4,3.0,2.6,2.2,3.2,2.8,2.25,3.2,2.75,2005/6,€11.80m,€16.65m,2.25,3.2,2.75
B1,22/10/2005,Waregem,St Truiden,1.0,5.0,A,0.0,2.0,1.72,3.4,4.0,1.8,3.25,4.0,1.75,3.2,4.0,1.7,3.5,4.0,1.65,3.4,4.4,2005/6,€10.88m,€13.90m,1.65,3.4,4.5
B1,22/10/2005,Westerlo,Lokeren,1.0,1.0,D,1.0,0.0,1.9,3.25,3.4,1.85,3.1,4.0,1.9,3.1,3.5,1.91,3.25,3.4,1.9,3.3,3.4,2005/6,€17.55m,€23.40m,2.0,3.25,3.25
B1,23/10/2005,Anderlecht,Club Brugge,2.0,2.0,D,1.0,0.0,1.83,3.4,3.5,1.8,3.25,4.0,1.9,3.1,3.7,1.91,3.2,3.5,1.83,3.3,3.6,2005/6,€71.95m,€50.60m,1.9,3.2,3.5
B1,28/10/2005,Lokeren,Anderlecht,2.0,2.0,D,0.0,1.0,4.0,3.5,1.72,3.9,3.35,1.8,4.0,3.2,1.75,4.0,3.4,1.73,4.0,3.4,1.72,2005/6,€23.40m,€71.95m,4.35,3.4,1.65
B1,29/10/2005,Beveren,Waregem,2.0,1.0,H,0.0,0.0,2.37,3.2,2.62,2.5,3.2,2.5,2.3,3.1,2.6,2.2,3.25,2.75,2.35,3.2,2.6,2005/6,€16.75m,€10.88m,2.3,3.25,2.6
