Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I1,06/11/05,Ascoli,Fiorentina,0.0,2.0,A,0.0,1.0,A,3.5,3.0,2.0,3.85,2.95,2.0,A. Dattilo,5.0,11.0,3.0,5.0,17.0,13.0,6.0,3.0,2.0,1.0,0.0,0.0
I1,06/11/05,Cagliari,Treviso,0.0,0.0,D,0.0,0.0,D,1.9,3.0,3.8,1.85,3.05,4.35,E. Morganti,14.0,7.0,7.0,2.0,19.0,23.0,6.0,1.0,2.0,4.0,0.0,0.0
I1,06/11/05,Juventus,Livorno,3.0,0.0,H,0.0,0.0,D,1.25,4.5,11.0,1.25,5.0,10.0,C. Brighi,18.0,7.0,7.0,3.0,21.0,19.0,8.0,5.0,3.0,2.0,0.0,1.0
I1,06/11/05,Messina,Roma,0.0,2.0,A,0.0,1.0,A,3.2,3.2,2.2,3.25,3.05,2.15,P. Dondarini,11.0,9.0,7.0,5.0,24.0,11.0,7.0,3.0,4.0,2.0,0.0,0.0
I1,06/11/05,Milan,Udinese,5.0,1.0,H,3.0,0.0,H,1.36,4.33,9.0,1.32,4.5,8.5,P. Bertini,7.0,4.0,4.0,3.0,26.0,26.0,6.0,2.0,2.0,3.0,0.0,0.0
I1,06/11/05,Palermo,Sampdoria,0.0,2.0,A,0.0,1.0,A,2.2,3.0,3.5,2.15,2.9,3.4,M. Trefoloni,15.0,8.0,7.0,3.0,18.0,19.0,6.0,4.0,2.0,4.0,0.0,0.0
I1,06/11/05,Parma,Lecce,2.0,0.0,H,1.0,0.0,H,1.8,3.25,4.0,1.8,3.05,4.6,P. Tagliavento,5.0,10.0,3.0,4.0,20.0,20.0,6.0,3.0,1.0,3.0,0.0,0.0
I1,06/11/05,Siena,Chievo,0.0,1.0,A,0.0,1.0,A,2.25,2.8,3.2,2.35,2.85,3.1,D. Tombolini,13.0,8.0,5.0,5.0,28.0,18.0,10.0,1.0,3.0,3.0,0.0,1.0
I1,19/11/05,Roma,Juventus,1.0,4.0,A,0.0,1.0,A,2.75,3.0,2.37,3.05,2.95,2.3,G. Paparesta,9.0,9.0,3.0,6.0,31.0,21.0,3.0,6.0,3.0,3.0,0.0,1.0
I1,19/11/05,Udinese,Messina,1.0,0.0,H,0.0,0.0,D,1.57,3.4,5.5,1.57,3.25,6.0,M. De Santis,18.0,5.0,11.0,3.0,20.0,21.0,10.0,0.0,3.0,3.0,0.0,0.0
