Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SP1,20/11/05,Cadiz,Valencia,0,1,A,0,0,D,2.8,3.2,2.25,2.9,3.2,2.25,11.0,6.0,4.0,2.0,17.0,26.0,10.0,11.0,4.0,6.0,1.0,1.0
SP1,20/11/05,Celta,Ath Madrid,2,1,H,1,0,H,2.25,3.25,2.75,2.2,3.2,3.0,10.0,18.0,4.0,8.0,28.0,17.0,3.0,11.0,2.0,2.0,0.0,0.0
SP1,20/11/05,Espanol,Mallorca,2,0,H,2,0,H,2.0,3.25,3.25,2.0,3.25,3.4,13.0,9.0,6.0,1.0,26.0,25.0,4.0,4.0,3.0,5.0,0.0,1.0
SP1,20/11/05,Malaga,Sociedad,3,1,H,0,0,D,2.2,3.2,2.87,2.25,3.1,3.0,14.0,13.0,7.0,3.0,26.0,11.0,7.0,7.0,2.0,2.0,0.0,0.0
SP1,20/11/05,Santander,La Coruna,0,3,A,0,1,A,2.6,3.2,2.4,2.5,3.1,2.65,17.0,9.0,7.0,3.0,23.0,31.0,4.0,4.0,1.0,1.0,0.0,0.0
SP1,26/11/05,Mallorca,Ath Bilbao,0,1,A,0,0,D,2.2,3.25,3.2,2.15,3.25,3.0,12.0,6.0,4.0,1.0,22.0,21.0,4.0,3.0,1.0,3.0,0.0,0.0
SP1,26/11/05,Valencia,Celta,2,0,H,0,0,D,1.72,3.4,5.0,1.65,3.5,4.75,15.0,11.0,7.0,3.0,16.0,16.0,9.0,6.0,1.0,2.0,0.0,0.0
SP1,27/11/05,Ath Madrid,Espanol,1,1,D,1,1,D,1.72,3.4,5.0,1.7,3.4,4.5,16.0,19.0,5.0,7.0,22.0,22.0,5.0,7.0,4.0,4.0,0.0,0.0
SP1,27/11/05,Barcelona,Santander,4,1,H,1,0,H,1.16,6.5,15.0,1.12,7.25,14.0,25.0,3.0,7.0,1.0,13.0,30.0,8.0,0.0,1.0,2.0,0.0,1.0
SP1,27/11/05,Betis,Cadiz,1,1,D,1,0,H,1.8,3.3,4.5,1.75,3.4,4.25,12.0,14.0,5.0,5.0,18.0,8.0,4.0,5.0,4.0,2.0,1.0,0.0
